lat,long,ang
17.56,154.13,44.81
11.43,152.4,49.98
5.16,147.8,54.21
-1.41,141.4,54.91
-6.47,139.6,56.66
-5.51,134.1,58.78
-5,130.2,63.83
-6.29,110.3,99.78
-21.3,86.7,86.8
-15.3,88,82.5
-0.4,86.9,77.3
0.6,85.5,72.8
0.8,85.4,71.9
-0.1,86.5,78.5
-2.2,89,100.1
-1.3,88.3,103.3
-0.4,87.7,106.5
1.2,86.5,113
-1.3,81.3,122.5
-3.1,82.3,123
-7,84.4,120.5
-9.1,85.8,123.1
-8.3,84.7,116.8
